position,Max,Min,Lineage,CNN_log_MIC,log2-MIC,MIC,MIC_pval,Max_pval,Min_pval,Bonferroni_MIC_pval,plot_score
62657,-0.0,-0.31799966,4.1,5.306946,6.149540226570273,70.98981881499972,0.039306278394165034,,0.0,1.6901699709490965,-0.3179996609687805
107794,0.90353394,0.0,4.1.2.1,6.5284796,6.157307554813328,71.37305173769927,0.05904043212138853,0.0,,2.5387385812197065,0.903533935546875
346693,-0.0,-1.0394348,2.2.2,4.5542707,5.064867658385989,33.47164750410847,0.17364129464136496,,0.0,7.466575669578694,-1.039434790611267
355181,-0.0,-0.78607464,4.4.1.1,4.8539433,5.87604899926346,58.73094715440093,0.30030328373154924,,0.0,12.913041200456618,-0.7860746383666992
514245,0.91787493,0.0,4.1.1,6.54282,6.610684073086438,97.7269169096644,0.1066771552684474,0.0,,4.587117676543238,0.9178749322891235
615614,0.7500571,0.0,4.3.1,6.375002,6.212607951649693,74.16198487095666,0.5024767025314748,0.0,,21.606498208853417,0.7500571012496948
615938,-0.0,-1.0732894,1,4.408942,3.9828921423310435,15.811388300841896,0.07004216976622891,,0.0,3.0118132999478435,-1.073289394378662
764995,0.2395361,0.0,4.3,5.864482,6.754564437455582,107.9758181173701,0.0004911955019432603,0.0,,0.021121406583560196,0.2395361065864563
783601,-0.0,-0.7810397,4.2.1,4.7772455,4.879132767511332,29.42830956382711,0.12286768170223,,0.0,5.28331031319589,-0.7810397148132324
797736,0.2832682,0.0,2.2.1,5.9082136,6.1523949959800275,71.13043079369436,0.1654621628189903,0.0,,7.114873001216583,0.2832682132720947
891756,-0.0,-0.22624603,4.1.2,5.3986998,6.0638061338268425,66.89405673354048,0.0120974807447432,,0.0,0.5201916720239576,-0.22624602913856506
931123,-0.0,-0.29735202,4**,5.327593,5.929570797867969,60.95069633002509,0.019563683840421255,,0.0,0.841238405138114,-0.29735201597213745
1132368,0.68342704,0.0,4.3.4.2,6.3083725,6.765611309253293,108.805774098662,0.04518295472665981,0.0,,1.9428670532463719,0.6834270358085632
1455780,-0.0,-0.5723992,4.2.2.1,4.785321,3.1144093452479407,8.660254037844387,0.03200728580510514,,0.0,1.376313289619521,-0.5723991990089417
1487796,-0.0,-0.7574724,4.2.2,5.643409,3.816248075762342,14.086566236306293,0.014450609513482544,,0.0,0.6213762090797494,-0.7574723958969116
1501468,0.63996947,0.0,4.6.1.2,3.9499617,7.394493812774017,168.2536291020343,0.08656590539246073,0.0,,3.7223339318758115,0.6399694681167603
1502120,-0.0,-1.795323,4.3.4.2.1,6.221394,4.624224960090202,24.6621207433047,0.12126558940226534,,0.0,5.21442034429741,-1.7953230142593384
1719757,0.59644884,0.0,4.5,5.6344395,6.22881869049588,74.99999999999997,0.4749034001542483,0.0,,20.420846206632678,0.5964488387107849
1881090,-0.0,-0.8438267,2.1,6.8998933,3.643856189774725,12.500000000000002,0.09604161065965316,,0.0,4.129789258365086,-0.8438267111778259
1882180,1.191294,0.0,BOV_AFRI,4.512115,7.804820237218406,223.606797749979,0.16050919713454892,0.0,,6.901895476785604,1.1912939548492432
2411730,-0.0,-1.0513872,4.2,5.812983,4.3476904216368375,20.3603495032226,0.009090879229854736,,0.0,0.39090780688375365,-1.0513871908187866
2505085,0.18806662,0.0,2.2,5.619061,6.14554005773842,70.79325756553456,0.1605513915161833,0.0,,6.903709835195882,0.18806661665439606
2831482,1.2137353,0.0,BOV,5.0333366,7.804820237218406,223.606797749979,0.16050919713454892,0.0,,6.901895476785604,1.2137353420257568
2875883,-0.0,-0.5983206,4.6.2.2,5.603738,3.7256055559161645,13.228756555322954,0.03422202421378724,,0.0,1.4715470411928513,-0.5983206033706665
3273107,-0.0,-1.479298,3,5.9758644,4.130312381281842,17.512490722829433,0.0008404032012120959,,0.0,0.03613733765212013,-1.4792979955673218
3479545,-0.0,-1.0911912,1.2.1,5.6443167,3.9828921423310435,15.811388300841896,0.07004216976622891,,0.0,3.0118132999478435,-1.0911911725997925
3977226,0.24977975,0.0,4.3.4,6.0443373,6.5581381470678535,94.23154200590982,0.1748743372717277,0.0,,7.519596502684291,0.24977974593639374
4125058,-0.0,-0.57641214,4.6.2,6.1027546,3.7256055559161645,13.228756555322954,0.03422202421378724,,0.0,1.4715470411928513,-0.5764121413230896
4151558,0.4193917,0.0,4.4.1,5.6063395,6.2139059754669415,74.22874003290408,0.44084113149830384,0.0,,18.956168654427064,0.4193916916847229
4260268,0.67118835,0.0,4.6.1,5.618226,7.394493812774017,168.2536291020343,0.08656590539246073,0.0,,3.7223339318758115,0.6711883544921875
4307886,0.43099907,0.0,4.4,5.346425,6.2139059754669415,74.22874003290408,0.44084113149830384,0.0,,18.956168654427064,0.4309990704059601
