Gene,Pos,Max,Min,Max_Sig,Min_Sig,WHO,Coll_2014,Freschi_2020
rpoBC,759310.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759311.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759312.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759313.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759314.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759315.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759316.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759317.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759318.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759319.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759320.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759321.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759322.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759323.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759324.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759325.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759326.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759327.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759328.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759329.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759330.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759331.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759332.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759333.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759334.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759335.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759336.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759337.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759338.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759339.0,9.530924e-05,0.0,0.0,0.0,0,0,0
rpoBC,759340.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759341.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759342.0,0.0004710664,0.0,0.0,0.0,0,0,0
rpoBC,759343.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759344.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759345.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759346.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759347.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759348.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759349.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759350.0,0.0010252657,0.0,1.0,0.0,0,0,0
rpoBC,759351.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759352.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759353.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759354.0,0.0,0.0,0.0,0.0,0,0,0
rpoBC,759355.0,0.0,0.0,0.0,0.0,0,0,0
