position,Max,Min,Lineage,pred_log2_MIC,log2-MIC,MIC,MIC_pval,Max_pval,Min_pval,Bonferroni_MIC_pval,plot_score
346693,0.47975272,0.0,2.2.2,-3.7928636,1.2925093594276038,2.449537468421769,6.141253798303091e-16,0.0,,3.561927203015793e-14,0.47975271940231323
497491,-0.0,-0.17049894,2,-4.2363896,-0.7275045681407621,0.603947660108727,0.03981042040228585,,0.0,2.3090043833325793,-0.17049893736839294
514245,0.60705566,0.0,4.1.1,-3.6899269,-0.11107257913141183,0.9258994411877381,8.549601378195244e-06,0.0,,0.0004958768799353242,0.6070556640625
797736,-0.0,-0.18892543,2.2.1,-4.22241,-0.853869399745283,0.5532987617592631,0.45783949545571423,,0.0,26.554690736431425,-0.18892543017864227
931123,-0.0,-0.28379148,4**,-4.2826967,-1.0968681904782964,0.46753031208262485,2.8298209835118156e-05,,0.0,0.001641296170436853,-0.2837914824485779
1132368,0.19693844,0.0,4.3.4.2,-3.9852557,0.6648545946122424,1.585408476073444,8.450474781608575e-11,0.0,,4.901275373332974e-09,0.1969384402036667
1502120,0.53808653,0.0,4.3.4.2.1,-4.2496247,-1.0827913256332486,0.4721144922442394,0.6138539476044709,0.0,,35.60352896105931,0.5380865335464478
1759252,0.08294689,0.0,4.9**,-4.116503,-0.9330274091003784,0.5237581128155777,0.503282358094518,0.0,,29.190376769482047,0.08294688910245895
1850119,-0.0,-0.67271864,4.1.1.1,-4.181881,-1.1207338858026903,0.4598598393001832,0.6226016059995085,,0.0,36.110893147971495,-0.6727186441421509
2505085,0.11091144,0.0,2.2,-4.0410748,-0.7120604026494016,0.6104476976204148,0.027589183311809984,0.0,,1.6001726320849792,0.11091143637895584
3273107,0.18357536,-0.06284323,3,-4.181451,-0.8741154366489846,0.5455882817594407,0.818772523803114,0.0,0.4,47.48880638058061,0.1835753619670868
3722702,-0.0,-0.47899184,3.1.2,-3.989861,-2.3792786374039983,0.19220547838597604,1.54906951561245e-06,,0.0,8.98460319055221e-05,-0.478991836309433
4229087,-0.0,-0.49550503,4.1.1.3,-4.1670504,0.38172886987648513,1.302902267916319,4.360969965915228e-05,,0.0,0.002529362580230832,-0.49550503492355347
4260268,0.50792146,0.0,4.6.1,-4.037636,1.9889875079833033,3.9695831267436623,1.5122271608031015e-06,0.0,,8.770917532657988e-05,0.5079214572906494
4404247,-0.0,-0.5236696,1.1,-4.1277857,-4.039735977370584,0.060802060369922216,3.1512635580003435e-65,,0.0,1.8277328636401994e-63,-0.5236696004867554
