ROLLINGDB_ID,POS
ERR4828282,282892
ERR4828282,441823
ERR4828282,931123
ERR4828282,1759252
ERR4828282,1924008
ERR4828282,2078246
ERR4828282,3628520
Peru4072,62657
Peru4072,917905
Peru4072,1396311
Peru4072,1759252
Peru4072,3147742
Peru4469,1759252
Peru4469,2621058
Peru4469,3414791
ERR4829103,353766
ERR4829103,1237536
ERR4829103,1759252
KOR-K2016-0002,282892
KOR-K2016-0002,441823
KOR-K2016-0002,931123
KOR-K2016-0002,1759252
KOR-K2016-0002,1924008
KOR-K2016-0002,2078246
KOR-K2016-0002,3628520
KOR-K2016-0002,4238675
TRL0114583,17225
TRL0114583,62657
TRL0114583,917905
TRL0114583,1759252
TRL0114583,3147742
IDR1900011778,282892
IDR1900011778,441823
IDR1900011778,931123
IDR1900011778,1759252
IDR1900011778,1924008
IDR1900011778,2078246
IDR1900011778,3628520
TRL0041018,1759252
TRL0041018,2621058
TRL0041018,3414791
ERR4831824,282892
ERR4831824,441823
ERR4831824,931123
ERR4831824,1759252
ERR4831824,1924008
ERR4831824,2078246
ERR4831824,3628520
ERR4796987,282892
ERR4796987,441823
ERR4796987,931123
ERR4796987,1759252
ERR4796987,1924008
ERR4796987,2078246
ERR4796987,3628520
MNG-S2014-0002,282892
MNG-S2014-0002,441823
MNG-S2014-0002,931123
MNG-S2014-0002,1759252
MNG-S2014-0002,1924008
MNG-S2014-0002,2078246
MNG-S2014-0002,3628520
Peru4568,784440
Peru4568,790180
Peru4568,1759252
Peru4568,2621058
ERR4830225,64028
ERR4830225,529363
ERR4830225,784450
ERR4830225,931123
ERR4830225,1759252
ERR4830225,2989683
ERR4797669,1130526
ERR4797669,1759252
ERR4810845,15890
ERR4810845,282892
ERR4810845,931123
ERR4810845,1759252
ERR4810845,3628520
ERR4810477,15890
ERR4810477,282892
ERR4810477,931123
ERR4810477,1759252
ERR4810477,3628520
ERR4812408,62657
ERR4812408,501615
ERR4812408,1580680
ERR4812408,1759252
ERR4812896,784440
ERR4812896,790180
ERR4812896,1759252
ERR4812896,2621058
ERR4831112,1130526
ERR4831112,1759252
ERR5917717,1759252
ERR5917717,1762615
ERR5917717,2077253
ERR5917717,2621058
C242,62657
C242,917905
C242,1396311
C242,1759252
C242,3147742
ERR4796795,353766
ERR4796795,1237536
ERR4796795,1759252
ERR5917695,282892
ERR5917695,441823
ERR5917695,931123
ERR5917695,1759252
ERR5917695,1924008
ERR5917695,2078246
ERR5917695,3628520
ERR4809338,342873
ERR4809338,635139
ERR4809338,931123
ERR4809338,1759252
ERR4809338,4044872
ERR4828624,282892
ERR4828624,441823
ERR4828624,931123
ERR4828624,1759252
ERR4828624,1924008
ERR4828624,2078246
ERR4828624,3628520
ERR4811297,282892
ERR4811297,441823
ERR4811297,931123
ERR4811297,1759252
ERR4811297,1924008
ERR4811297,2078246
ERR4811297,3628520
GA041-123,61842
GA041-123,64028
GA041-123,931123
GA041-123,1759252
GA041-123,2763624
ERR4829631,801009
ERR4829631,1759252
ERR4810616,282892
ERR4810616,441823
ERR4810616,931123
ERR4810616,1759252
ERR4810616,1924008
ERR4810616,2078246
ERR4810616,3628520
ERR4828600,16526
ERR4828600,64028
ERR4828600,931123
ERR4828600,1136017
ERR4828600,1759252
ERR4828600,2737201
ERR4811804,784440
ERR4811804,790180
ERR4811804,1759252
ERR4811804,2621058
ERR2184208,62657
ERR2184208,501615
ERR2184208,1580680
ERR2184208,1759252
ERR4830252,62657
ERR4830252,917905
ERR4830252,1396311
ERR4830252,1759252
ERR4830252,3147742
ERR4831386,16526
ERR4831386,64028
ERR4831386,405404
ERR4831386,931123
ERR4831386,1136017
ERR4831386,1759252
Peru3354,62657
Peru3354,917905
Peru3354,1396311
Peru3354,1759252
Peru3354,3147742
ERR4828261,282892
ERR4828261,441823
ERR4828261,931123
ERR4828261,1759252
ERR4828261,1924008
ERR4828261,2078246
ERR4828261,3628520
ERR4828649,16526
ERR4828649,64028
ERR4828649,931123
ERR4828649,1136017
ERR4828649,1759252
ERR4828649,2737201
Peru4484,282892
Peru4484,441823
Peru4484,931123
Peru4484,1759252
Peru4484,1924008
Peru4484,2078246
Peru4484,3628520
ERR4809164,282892
ERR4809164,441823
ERR4809164,931123
ERR4809164,1759252
ERR4809164,1924008
ERR4809164,2078246
ERR4809164,3628520
ERR4830805,353766
ERR4830805,1237536
ERR4830805,1759252
M0014892-5,801009
M0014892-5,1759252
ERR4797083,282892
ERR4797083,441823
ERR4797083,931123
ERR4797083,1759252
ERR4797083,1924008
ERR4797083,2078246
ERR4797083,3628520
ERR4796874,342873
ERR4796874,635139
ERR4796874,931123
ERR4796874,1759252
ERR4796874,4044872
ERR4828446,282892
ERR4828446,441823
ERR4828446,931123
ERR4828446,1759252
ERR4828446,1924008
ERR4828446,2078246
ERR4828446,3628520
ERR4811119,1759252
ERR4811119,4152890
ERR4809005,282892
ERR4809005,441823
ERR4809005,931123
ERR4809005,1759252
ERR4809005,1924008
ERR4809005,2078246
ERR4809005,3628520
ERR2510470,342873
ERR2510470,635139
ERR2510470,931123
ERR2510470,1759252
ERR2510470,4044872
ERR4830474,62657
ERR4830474,1759252
ERR4830474,2847994
ERR4830474,3147742
TRL0114849,62657
TRL0114849,917905
TRL0114849,1396311
TRL0114849,1759252
TRL0114849,3147742
ERR4797048,282892
ERR4797048,441823
ERR4797048,931123
ERR4797048,1759252
ERR4797048,1924008
ERR4797048,2078246
ERR4797048,3628520
ERR4811709,1759252
ERR4811709,2621058
ERR4811709,3414791
ERR5917997,15890
ERR5917997,282892
ERR5917997,931123
ERR5917997,1759252
ERR5917997,3628520
ERR4828700,282892
ERR4828700,441823
ERR4828700,931123
ERR4828700,1759252
ERR4828700,1924008
ERR4828700,2078246
ERR4828700,3628520
C459,342873
C459,635139
C459,931123
C459,1759252
C459,1914217
C459,4044872
ERR4828723,62657
ERR4828723,917905
ERR4828723,1396311
ERR4828723,1759252
ERR4828723,3147742
ERR4830170,282892
ERR4830170,441823
ERR4830170,931123
ERR4830170,1759252
ERR4830170,1924008
ERR4830170,2078246
ERR4830170,3628520
ERR4830170,4238675
ERR4828576,353766
ERR4828576,1237536
ERR4828576,1759252
Peru5088,282892
Peru5088,441823
Peru5088,931123
Peru5088,1759252
Peru5088,1924008
Peru5088,2078246
Peru5088,3628520
ERR4809314,355181
ERR4809314,1759252
ERR4809314,2905505
ERR4809314,4238963
ERR2510704,1130526
ERR2510704,1759252
ERR4797220,15177
ERR4797220,64028
ERR4797220,931123
ERR4797220,1759252
ERR4797220,2989683
ERR4829422,62657
ERR4829422,501615
ERR4829422,1580680
ERR4829422,1759252
ERR4832036,282892
ERR4832036,441823
ERR4832036,931123
ERR4832036,1759252
ERR4832036,1924008
ERR4832036,2078246
ERR4832036,3628520
ERR4797833,342873
ERR4797833,635139
ERR4797833,931123
ERR4797833,1759252
ERR4797833,4044872
ERR4812749,1759252
ERR4812749,1762615
ERR4812749,2077253
ERR4812749,2621058
ERR4810595,282892
ERR4810595,441823
ERR4810595,931123
ERR4810595,1759252
ERR4810595,1924008
ERR4810595,2078246
ERR4810595,3628520
ERR4812710,62657
ERR4812710,917905
ERR4812710,1396311
ERR4812710,1759252
ERR4812710,3147742
ERR4828204,64028
ERR4828204,529363
ERR4828204,784450
ERR4828204,931123
ERR4828204,1759252
ERR4828204,2989683
ERR4822641,783601
ERR4822641,870187
ERR4822641,1237536
ERR4822641,1759252
SAMEA3558151,1759252
ERR4812261,1759252
ERR4812261,2621058
ERR4812261,3414791
ERR3287515,62657
ERR3287515,917905
ERR3287515,1396311
ERR3287515,1759252
ERR3287515,3147742
ERR4812159,62657
ERR4812159,917905
ERR4812159,1396311
ERR4812159,1759252
ERR4812159,3147742
Peru4075,62657
Peru4075,917905
Peru4075,1396311
Peru4075,1759252
Peru4075,3147742
C310,62657
C310,501615
C310,1580680
C310,1759252
ERR4796991,1759252
ERR4828270,282892
ERR4828270,441823
ERR4828270,931123
ERR4828270,1759252
ERR4828270,1924008
ERR4828270,2078246
ERR4828270,3628520
ERR4811025,282892
ERR4811025,441823
ERR4811025,931123
ERR4811025,1759252
ERR4811025,1924008
ERR4811025,2078246
ERR4811025,3628520
ERR4797142,61842
ERR4797142,64028
ERR4797142,931123
ERR4797142,1759252
ERR4797142,2763624
ERR4829755,62657
ERR4829755,917905
ERR4829755,1396311
ERR4829755,1759252
ERR4829755,3147742
ERR4811013,282892
ERR4811013,441823
ERR4811013,931123
ERR4811013,1759252
ERR4811013,1924008
ERR4811013,2078246
ERR4811013,3628520
ERR4830055,1759252
ERR4828675,64028
ERR4828675,529363
